RANK,NAME,Team,POS,VALUE
469,Kirby Yates,SD,RP,-6
470,Anthony Swarzak,NYM,RP,-6
471,Mike Napoli,FA,1B,-6
472,Boog Powell,OAK,OF,-6
473,Manny Pina,MIL,C,-6
474,Juan Nicasio,SEA,RP,-6
475,Adrian Gonzalez,NYM,1B,-6
476,Dillon Peters,MIA,SP,-7
477,Jason Hammel,KC,SP,-7
478,Matt Bush,TEX,SP,-7
479,Chase Headley,SD,1B/3B,-7
480,Martin Prado,MIA,3B,-7
481,Marco Estrada,TOR,SP,-7
482,Matt Duffy,TB,3B,-7
483,Miguel Andujar,NYY,3B,-7
484,Jake McGee,COL,RP,-7
485,Tyler Chatwood,CHC,SP,-7
486,Cameron Rupp,PHI,C,-7
487,German Marquez,COL,SP,-7
488,Ivan Nova,PIT,SP,-7
489,Devin Mesoraco,CIN,C,-7
490,Matthew Boyd,DET,SP,-7
491,Robert Stephenson,CIN,SP,-7
492,Kurt Suzuki,ATL,C,-7
493,Jordan Zimmermann,DET,SP,-7
494,Sandy Leon,BOS,C,-7
495,Matt Andriese,TB,SP,-7
496,Brandon Nimmo,NYM,OF,-7
497,Adam Engel,CHW,OF,-7
498,Caleb Joseph,BAL,C,-7
499,A.J. Reed,HOU,1B,-7
500,Devon Travis,TOR,2B,-7
501,Steve Pearce,TOR,OF,-7
502,Tucker Barnhart,CIN,C,-7
503,Francisco Cervelli,PIT,C,-7
504,Jeff Mathis,ARI,C,-7
505,Chad Kuhl,PIT,SP,-7
506,Roberto Perez,CLE,C,-7
507,Pedro Strop,CHC,RP,-7
508,Tom Murphy,COL,C,-7
509,Liam Hendriks,OAK,RP,-7
510,Dixon Machado,DET,2B/SS,-7
511,Jason Castro,MIN,C,-7
512,Carlos Asuaje,SD,2B,-8
513,Tony Wolters,COL,C,-8
514,Pablo Sandoval,SF,1B/3B,-8
515,Wilmer Difo,WSH,2B/SS/ 3B,-8
516,Johan Camargo,ATL,SS/3B,-8
517,Yusmeiro Petit,OAK,RP,-8
518,J.T. Riddle,MIA,SS,-8
519,Howie Kendrick,WSH,2B/OF,-8
520,Hernan Perez,MIL,2B/3B/ OF,-8
521,Paulo Orlando,KC,OF,-8
522,Aledmys Diaz,TOR,SS,-8
523,Logan Forsythe,LAD,2B/3B,-8
524,Pat Valaika,COL,SS,-8
525,Hector Rondon,HOU,RP,-8
526,Jimmie Sherfy,ARI,RP,-8
527,Craig Stammen,SD,RP,-8
