"RANK, PLAYER",TEAM,AGE,ELIG.,POS,$10T,$12T,NAME,RANK,VALUE,POS
210. Ryon Healy,OAK,25,3B,3B23,$1 ,$3 , Ryon Healy,210,3.00,3B23
211. Carlos Rodon,CWS,24,SP,SP58,$2 ,$4 , Carlos Rodon,211,4.00,SP58
212. Eric Thames,MIL,30,OF,OF59,$1 ,$3 , Eric Thames,212,3.00,OF59
213. Vince Velasquez,PHI,24,SP,SP59,$1 ,$3 , Vince Velasquez,213,3.00,SP59
214. Tommy Joseph,PHI,25,1B,1B20,$1 ,$3 , Tommy Joseph,214,3.00,1B20
215. Neil Walker,NYM,31,2B,2B19,$1 ,$3 , Neil Walker,215,3.00,2B19
216. Nomar Mazara,TEX,21,OF,OF60,$1 ,$3 , Nomar Mazara,216,3.00,OF60
217. Yasiel Puig,LAD,26,OF,OF61,$1 ,$3 , Yasiel Puig,217,3.00,OF61
218. Drew Pomeranz,BOS,28,SP,SP60,$1 ,$3 , Drew Pomeranz,218,3.00,SP60
219. Eugenio Suarez,CIN,25,3B,3B24,$1 ,$3 , Eugenio Suarez,219,3.00,3B24
220. Yadier Molina,STL,34,C,C11,$1 ,$3 , Yadier Molina,220,3.00,C11
221. David Dahl,COL,23,OF,OF62,$1 ,$3 , David Dahl,221,3.00,OF62
222. Matt Moore,SF,27,SP,SP61,$1 ,$3 , Matt Moore,222,3.00,SP61
223. Sam Dyson,TEX,28,RP,RP24,$1 ,$3 , Sam Dyson,223,3.00,RP24
224. Devon Travis,TOR,26,2B,2B20,$1 ,$3 , Devon Travis,224,3.00,2B20
225. Domingo Santana,MIL,24,OF,OF63,$1 ,$3 , Domingo Santana,225,3.00,OF63
226. Ivan Nova,PIT,30,SP,SP62,$1 ,$3 , Ivan Nova,226,3.00,SP62
227. Jung Ho Kang,PIT,29,3B,3B25,$1 ,$3 , Jung Ho Kang,227,3.00,3B25
228. Greg Bird,NYY,24,1B,1B21,$0 ,$1 , Greg Bird,228,1.00,1B21
229. Anthony DeSclafani,CIN,26,SP,SP63,$1 ,$3 , Anthony DeSclafani,229,3.00,SP63
230. Eduardo Rodriguez,BOS,23,SP,SP64,$1 ,$2 , Eduardo Rodriguez,230,2.00,SP64
231. Matt Wieters,WAS,30,C,C12,$1 ,$2 , Matt Wieters,231,2.00,C12
232. Manuel Margot,SD,22,OF,OF64,$1 ,$2 , Manuel Margot,232,2.00,OF64
233. Jedd Gyorko,STL,28,2B/3B/SS,2B21,$1 ,$2 , Jedd Gyorko,233,2.00,2B21
234. Hisashi Iwakuma,SEA,35,SP,SP65,$1 ,$2 , Hisashi Iwakuma,234,2.00,SP65
235. Brandon Maurer,SD,26,RP,RP25,$1 ,$2 , Brandon Maurer,235,2.00,RP25
236. Brandon Phillips,ATL,35,2B,2B22,$1 ,$2 , Brandon Phillips,236,2.00,2B22
237. Ian Kennedy,KC,32,SP,SP66,$1 ,$2 , Ian Kennedy,237,2.00,SP66
238. C.J. Cron,LAA,27,1B,1B22,$1 ,$3 , C.J. Cron,238,3.00,1B22
239. Welington Castillo,BAL,29,C,C13,$1 ,$2 , Welington Castillo,239,2.00,C13
240. Hunter Pence,SF,33,OF,OF65,$1 ,$2 , Hunter Pence,240,2.00,OF65
241. Neftali Feliz,MIL,28,RP,RP26,$1 ,$2 , Neftali Feliz,241,2.00,RP26
242. Tim Anderson,CWS,23,SS,SS21,$1 ,$2 , Tim Anderson,242,2.00,SS21
243. Josh Harrison,PIT,29,2B,2B23,$1 ,$2 , Josh Harrison,243,2.00,2B23
244. Julio Urias,LAD,20,SP,SP67,$1 ,$2 , Julio Urias,244,2.00,SP67
245. Joe Ross,WAS,23,SP,SP68,$1 ,$2 , Joe Ross,245,2.00,SP68
246. Hector Neris,PHI,27,RP,RP27,$1 ,$2 , Hector Neris,246,2.00,RP27
247. Jose Reyes,NYM,33,3B,3B27,$1 ,$2 , Jose Reyes,247,2.00,3B27
248. Max Kepler,MIN,24,OF,OF66,$1 ,$2 , Max Kepler,248,2.00,OF66
249. Gio Gonzalez,WAS,31,SP,SP69,$1 ,$2 , Gio Gonzalez,249,2.00,SP69
250. Asdrubal Cabrera,NYM,31,SS,SS22,$1 ,$2 , Asdrubal Cabrera,250,2.00,SS22
251. Stephen Vogt,OAK,32,C,C14,$0 ,$1 , Stephen Vogt,251,1.00,C14
252. Jason Heyward,CHC,27,OF,OF67,$0 ,$1 , Jason Heyward,252,1.00,OF67
253. Garrett Richards,LAA,28,SP,SP70,$0 ,$1 , Garrett Richards,253,1.00,SP70
254. David Peralta,ARI,29,OF,OF68,$0 ,$1 , David Peralta,254,1.00,OF68
255. Zach Davies,MIL,24,SP,SP71,$0 ,$1 , Zach Davies,255,1.00,SP71
256. Brandon Drury,ARI,24,OF/3B,OF69,$0 ,$1 , Brandon Drury,256,1.00,OF69
257. Didi Gregorius,NYY,27,SS,SS23,$1 ,$3 , Didi Gregorius,257,3.00,SS23
258. Adam Ottavino,COL,31,RP,RP28,$0 ,$1 , Adam Ottavino,258,1.00,RP28
259. Michael Wacha,STL,25,SP/RP,SP72,$0 ,$1 , Michael Wacha,259,1.00,SP72
260. Addison Reed,NYM,28,RP,RP30,$0 ,$1 , Addison Reed,260,1.00,RP30
261. Michael Conforto,NYM,24,OF,OF70,$0 ,$1 , Michael Conforto,261,1.00,OF70
262. Orlando Arcia,MIL,22,SS,SS24,$0 ,$1 , Orlando Arcia,262,1.00,SS24
263. Ryan Madson,OAK,36,RP,RP31,$0 ,$1 , Ryan Madson,263,1.00,RP31
264. Joe Panik,SF,26,2B,2B24,$0 ,$1 , Joe Panik,264,1.00,2B24
265. Jharel Cotton,OAK,25,SP,SP73,$0 ,$1 , Jharel Cotton,265,1.00,SP73
266. Martin Prado,MIA,33,3B,3B29,$0 ,$1 , Martin Prado,266,1.00,3B29
267. Justin Bour,MIA,28,1B,1B23,$0 ,$1 , Justin Bour,267,1.00,1B23
268. Jarrod Dyson,SEA,32,OF,OF71,$0 ,$1 , Jarrod Dyson,268,1.00,OF71
269. Blake Snell,TB,24,SP,SP74,$0 ,$1 , Blake Snell,269,1.00,SP74
